drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Hortense,F,,,,"
            
HORTENSE:

            
Mon Dieu wie bin ich unglüecklich. 
            
(Geht evor.)
 Ken Mensch wo aane tröscht. Gott wie min Hochzittsnastüechel tropft. 
            
(Grient lütt. Ringt 's Nastüechel üss).
 Träne, nix wie Träne.

          
",1,bastian-e-sportschochzitt,42,6,0.1428571428571428,,,,,,,,,,,
comedy,Octavie,M,,,,"
            
OCTAVIE:

            
Bonjour Hortense, glüecklichi Hochzittere! Loss dich umarme. Ja, was muess ich sehne? Dü
            griensch?

          
",2,bastian-e-sportschochzitt,22,5,0.2272727272727272,,,,,,,,,,,
comedy,Octavie,M,,,,"
            
OCTAVIE:

            
Diner Hochzitter? Ah, nit möjlich! Kumm setz dich. 
            
(Holt zwai Stüehl, sitze näwenand.)

          
",3,bastian-e-sportschochzitt,23,2,0.0869565217391304,,,,,,,,,,,
comedy,Hortense,F,,,,"
            
HORTENSE:

            
In e're Halbstund solle mer uff d' Mairie, derno in d'Kirich. Ich verzwiefel noch.

          
",4,bastian-e-sportschochzitt,20,1,0.05,,,,,,,,,,,
comedy,Octavie,M,,,,"
            
OCTAVIE:

            
Na, ja, er wurd schun kumme. Tröscht dich. Viellicht isch-em e Hosseknopf abgschprunge, odder er
            het d'Krawatt verlajt, odder....

          
",5,bastian-e-sportschochzitt,29,4,0.1379310344827586,0.0680916105005094,0.4541111700134628,1.0752261520146404,0.0656507058316111,1.3151115482903806,0.1249818979375575,0.9753375503236736,0.1112077845252634,0.0649295020465159,0.1303869975049414,1.5083898855146132
comedy,Hortense,F,,,,"
            
HORTENSE:

            
O, ich sitz wie uff-em e Kohlefyr. 
            
(Rutscht hin un her.)
 Bedenk, tante, wenn'r nit käm. Die Blamasch. Ich gäng
            direkt...

          
",6,bastian-e-sportschochzitt,33,1,0.0303030303030303,0.4704967790020928,0.3833373238868739,1.5367537525633908,0.0656507058316111,1.4752846504718509,0.589721582585606,0.8956438599538575,0.6616968193660729,0.0649295020465159,0.0401649663890212,1.530336544035069
comedy,Hortense,F,,,,"
            
HORTENSE:

            
Naan, in's Kloschter. Tante Octavie, hirot nit, hirot nit. Betracht mich in mim grenzelose
            Ku-kummer. Näm dir e lawendigs Exempel an mir.

          
",7,bastian-e-sportschochzitt,32,4,0.125,0.4024051685015833,0.7504278777223222,1.9917378787611304,0.0,2.084558907328148,0.4784850183999067,1.3201996466919896,0.5504890348408095,0.0,0.8187151074777697,2.144119848674798
comedy,Octavie,M,,,,"
            
OCTAVIE:

            
(sifzt)

            
In die Verläjeheit wurr ich nie kumme.

          
",8,bastian-e-sportschochzitt,13,2,0.1538461538461538,0.5259117868198321,0.9995022065678832,2.535027328241546,0.0,2.4256286651189622,0.6369569807169292,1.3201996466919896,0.7044493398676676,0.0,0.8187151074777697,2.487724949163746
comedy,Octavie,M,,,,"
            
OCTAVIE:

            
Was waisch denn dü vom Läwe. Ach Gott. 
            
(Sifzt schwer.)

          
",8,bastian-e-sportschochzitt,17,3,0.1764705882352941,0.5259117868198321,1.293070009702332,2.570057255763164,0.0,2.3879978933219475,0.7604876927975479,0.9987091526581612,0.8285141843375022,0.0,1.1640399841144593,2.3001158774532664
comedy,Octavie,M,,,,"
            
OCTAVIE:

            
Hab ich gsifzt? Hortensele, ich hab mir gschwore nie ze hirote. E Mann bringt aam nix wie Sorje un
            Unglüeck. 
            
(Holt üss-em Köfferle e Stricket, setzt sich, geht d'rno hin un her, strickt
            nervös.)

          
",9,bastian-e-sportschochzitt,47,5,0.1063829787234042,0.6664803631929253,1.1685328452795516,2.640543019683469,0.0,2.3194234277959414,0.8561846964775292,0.8438898607004477,0.938611991305664,0.0,1.1640399841144593,2.1256268478961102
