drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
(hett e Zyttung in d'r Hand unn geht uffgerejt uff  unn ab)

          
Nein, diss iwerläw ich nitt ! Myn ganz Vermeje haw ich verlore! E ganzi Million isch füddi, wo ich in Aktie vun d'r « Australisch Auschterebank » g’steckt habb, unn jetzt isch diss ganz Unternemme iwer Nacht verkracht ! Do steht’s im Blättel !

        
",1,jost-e-dienschtbott-wurd-gsuecht,65,9,0.1384615384615384,,,,,,,,,,,
comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Unn do bisch numme dü dran schuld, Jean !

        
",2,jost-e-dienschtbott-wurd-gsuecht,12,1,0.0833333333333333,,,,,,,,,,,
comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Na ja, Patron, ich will jo gern zuegänn, ass ich denne Morje Ihri Café-Schissel verhejt habb, awer ...

        
",2,jost-e-dienschtbott-wurd-gsuecht,24,4,0.1666666666666666,,,,,,,,,,,
comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Ach was, die mein ich nitt! Vun mir üss hättsch d'ganz G’schirrabteilung vum « Magmod » kapütt dengle kenne! Ich mein d’« Australisch Auschterebank»!

        
",3,jost-e-dienschtbott-wurd-gsuecht,33,4,0.1212121212121212,,,,,,,,,,,
comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN:

          
Ah! Isch s’e üss’m Lym gange? Unn ich soll schuld sinn ? Ich habb mich nitt druff g’setzt, Monsieur Meyer !

        
",4,jost-e-dienschtbott-wurd-gsuecht,28,1,0.0357142857142857,0.1027441478114827,0.1437542289238108,0.8850735234628158,0.0,1.130398058080028,0.1221694365795622,0.6275605799612985,0.1405535824786245,0.0915633222401637,0.3571422353204496,1.217320390342381
comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Babbel kein Mischt, Jean! Ass s'e schiewes isch gange, isch nitt dyni Schuld, awer ass ich myn ganz Geld nyng’steckt habb !

        
",5,jost-e-dienschtbott-wurd-gsuecht,29,4,0.1379310344827586,0.2474777865660473,0.0834679132427103,0.7766339291050326,0.2034056838578699,0.7900745205010533,0.1221694365795622,0.4071746089656475,0.1405535824786245,0.0477270835513147,0.2605373319615768,0.806379433773875
comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Jetzt wurd’s Daa! Ja, Patron, saawe emool: Sinn Sie d'r Herr odder ich? Kenne Sie nitt mache, was Sie welle ?

        
",6,jost-e-dienschtbott-wurd-gsuecht,30,3,0.1,0.2654528381579176,0.0834679132427103,1.1597199553508282,0.2478702851640753,1.2893002129522977,0.1555178875592163,0.5915538090280593,0.1405535824786245,0.0477270835513147,0.4284383971283003,1.289372818629929
comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Doch, awer wo ich dich angaschiert habb, hesch dü mir versichert, ass dü dich uff alles verstehsch.

        
",7,jost-e-dienschtbott-wurd-gsuecht,23,2,0.0869565217391304,0.2654528381579176,0.0,1.23866433406779,0.2478702851640753,1.6163814420653708,0.1555178875592163,0.6103933026919853,0.1405535824786245,0.0,0.4836376244044301,1.6660210191955958
comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN:

          
Sell isch wohr, wenn sich's um ’s Koche, Butze, Nähje unn so wyddersch handelt : ass ich awer au noch Ihre Finanzrat soll sinn, diss isch nitt im Kontrakt vor- g’sähn !

          
        
		
",8,jost-e-dienschtbott-wurd-gsuecht,40,3,0.075,0.1627086903464349,0.0,1.0131296057123085,0.2478702851640753,1.4082187714552326,0.033348450979654,0.535552569699619,0.0,0.0,0.4836376244044301,1.4732137438262467
comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Egal, dü hesch mir awer geroote, ass ich’s riskiere kennt, myn Vermeje in dem Unternemme anzeleije.

        
",9,jost-e-dienschtbott-wurd-gsuecht,23,3,0.1304347826086956,0.1627086903464349,0.1808589470433014,1.2088591235399109,0.2478702851640753,1.6378911937623404,0.033348450979654,0.7051667966455236,0.0,0.1315087160665469,0.589230576717821,1.7136067693522825
