drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Frisch,M,office_worker,intermediate_professionals,lower_class,"
            
Frisch :

            
(liest Zeitung)

          
",1,kuehne-bureaukrate,6,1,0.1666666666666666,,,,,,,,,,,
comedy,Dindeschlecker,M,office_worker,intermediate_professionals,lower_middle_class,"
            
Dindeschlecker :

            
(rechnet eifrig.)

          
",1,kuehne-bureaukrate,7,1,0.1428571428571428,,,,,,,,,,,
comedy,Frei,M,office_worker,intermediate_professionals,lower_class,"
            
Frei :

            
(starrt in die Luft und trämut ; das Schweigen dauert etwa eine Minute, fällt schliesslich
            Frei auf ; er beugt den Kopf leicht um den Aufsatz seines Pultes herum, gewahrt das Idyll, nimmt eine
            Zitronen- oder Orangenschale und wirft sie über das Pult Dindeschleckers hinweg, auf Frisch's
            Zeitung. Worauf er eifriges Schreiben markiert.)

          
",2,kuehne-bureaukrate,65,6,0.0923076923076923,,,,,,,,,,,
comedy,Frisch,M,office_worker,intermediate_professionals,lower_class,"
            
Frisch :

            
(fährt auf)

            
Ninevierzig noch emol ! Jetz stecke mr emol die Fisik uff, Babbe Dindeschlecker ! Nit emol riehwig
            sinne Zitung lase ka mr im Dienscht ! 
            
(nimmt die Schale und wirft sie über den Aufsatz Dindeschleckers hinweg, diesem gerade auf
            seine Arbeit.)

          
",3,kuehne-bureaukrate,52,6,0.1153846153846153,,,,,,,,,,,
comedy,Dindeschlecker,M,office_worker,intermediate_professionals,lower_middle_class,"
            
Dindeschlecker :

            
(gemütlich)

            
Allons, allons ! 
            
(wirft die Schale in den Papierkorb.)

          
",4,kuehne-bureaukrate,18,1,0.0555555555555555,0.0,0.8664248689143612,1.7722587979161264,0.0,1.4919233318731029,0.0,0.8097981438912412,0.0,0.407330301285094,0.6836531839766256,1.6844627083321662
comedy,Frei,M,office_worker,intermediate_professionals,lower_class,"
            
Frei :

            
(nimmt eine weitere Schale und wirft sie an die Zimmerdecke, derart, dass sie zurückfallend
            auf Dindeschleckers Arbeit fällt.)

          
",4,kuehne-bureaukrate,25,2,0.08,0.0,0.8664248689143612,1.515960075996068,0.0,1.3142503025683638,0.0,1.0295880624590326,0.0,0.407330301285094,0.8816799500362199,1.5706016597729646
comedy,Dindeschlecker,M,office_worker,intermediate_professionals,lower_middle_class,"
            
Dindeschlecker :

            
(gemütlich)

            
Allons, allons, Herr Frisch, wenn Sie's salwer nit verputze kenne, wurum warfe Sie mir so Dings a!
            
            
(wirft die Schale weg.)

          
",5,kuehne-bureaukrate,35,5,0.1428571428571428,0.0095595257653064,0.1219936286347068,1.1137413279548831,0.0236472479457579,1.247356216496841,0.3015185880508472,0.6095539301909361,0.1346390334601614,0.1660331382541626,0.4620624541390534,1.2992320191400968
comedy,Frisch,M,office_worker,intermediate_professionals,lower_class,"
            
Frisch :

            
Was? Ich?

          
",5,kuehne-bureaukrate,6,1,0.1666666666666666,0.0095595257653064,0.0,1.132483077192893,0.0236472479457579,1.181811021501928,0.3015185880508472,0.3165007054338808,0.1346390334601614,0.1660331382541626,0.1980267660595943,1.1416007273470108
comedy,Frei,M,office_worker,intermediate_professionals,lower_class,"
            
Frei :

            
Am And gar ich, hm ?

          
",5,kuehne-bureaukrate,9,1,0.1111111111111111,0.0095595257653064,0.0,1.3199861292030055,0.0236472479457579,1.434230922923449,0.3015185880508472,0.6593697557033743,0.1346390334601614,0.1660331382541626,0.594080298178783,1.4994197831625486
comedy,Frisch,M,office_worker,intermediate_professionals,lower_class,"
            
Frisch :

            
Egal wer ! Ich will minne Rüehj ha! Einer von Euich isch's sicher, wu so Fisik tribt ; wenn's jetz
            nit uffheert, pack i eifach dr eint un verhaui dr ander drmit, drno isch dr Richtig scho drbi, soviel
            weiss i drno wenigschtens.

          
",6,kuehne-bureaukrate,53,6,0.1132075471698113,0.0095595257653064,0.0,1.5919965362971653,0.0236472479457579,1.8414530380152327,0.3015185880508472,0.7997637094411572,0.1346390334601614,0.1660331382541626,0.8826018910184331,1.977973052354623
