drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Frau Marx,F,,,,"
        
 Marx: 

        
(allein, an der Mitteltüre horchend. Man hört zankende Stimmen)

        
Bon, diß isch wid’r e Leitskrambol, was mueß jetz do schun wid’r los sin?! Natierli — ich hab m’r’s doch glich gedenkt. — S’isch mini Fräu, wie mit ihrer Schweschter, mit'm Tant’l, Händel hett. — 
(Seufzt)
 Wenn äner än Fräu hett, ze reichts als for gewöhnli grad, wenn äner awer zwei um sich erum mueß han wie ich, brücht er nit ze säuje „Gott strof mi“, er isch g’stroft genue ! — 
(In befserer Laune)
 Jetzt, ’s Tantel diß erwe m’r emol oder au moins unsri King, un do kann m’r sich halt so e manches g’falle Ion. — ’s hett iwrigens Hitz koscht bis m’r so witt gewahn sin, ich hab alli Ränk und Schlich an muehn wende, um se vum Hierothe ab wendisch ze mache, Meh wi zeh Mol hawi se reujes gemacht, un wie, es isch als nit so licht gewahn. — Jetz isch d’Partie Gott sej Dank gewunne, sie isch iwwer'm Alter drüsse, sie isch e-n-alti Schachtel, un vom Hierothe kann kenn Redd meh sin.

      
",1,stoskopf-e-diplomat,223,18,0.0807174887892376,,,,,,,,,,,
comedy,Frau Marx,F,,,,"
        
Frau Marx: 

        
(kommt hastig in die Stube gestürmt)

        
Siehsch, ich hab noch allewyl gsäit, sie macht noch emol e Dummheit, s’ isch wäjer d’rwert, daß m’r sich so veel hett g’falle Ion um se !

      
",2,stoskopf-e-diplomat,43,4,0.0930232558139534,,,,,,,,,,,
comedy,Frau Marx,F,,,,"
        
Marx:

        
Ja, was Deifels isch denn do schun wid’r los?!

      
",3,stoskopf-e-diplomat,14,2,0.1428571428571428,,,,,,,,,,,
comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Was los isch?! — Diß Mensch isch verruckt, säuj i d'r, verruckt! — Hierothe wills! Hierothe !

      
",4,stoskopf-e-diplomat,26,3,0.1153846153846153,,,,,,,,,,,
comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Ja, hierothe !

      
",5,stoskopf-e-diplomat,7,1,0.1428571428571428,0.0541779854476097,0.488396655676336,1.1888932157525909,0.0,1.2285129691929138,0.03059409529061,1.0057620810817376,0.0,0.3236651893433748,0.5131558152754219,1.3939963626842422
comedy,Frau Marx,F,,,,"
        
Marx:

        
Ich gläub, dü bisch maschokke, do möcht i awer äu d'rbie sin !

      
",5,stoskopf-e-diplomat,18,1,0.0555555555555555,0.0,0.3747671404636536,0.9743803592164464,0.0,0.951643734569066,0.0,0.8827237283813407,0.0,0.2725059847578701,0.3274880345912276,1.1475966868965854
comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Ja, ewe grad im Läuf vun-ere Dischküssion hett se m’r's uff de Flade g’striche, un wie, morje hett se schun Verschriewung. Alles hett se diß Dür hinger ünserm Rücke gemacht, alles. Diß mol, hett se gsäit, macht se neemes meh röujies.

      
",6,stoskopf-e-diplomat,54,6,0.1111111111111111,0.0,0.3747671404636536,1.0593103172396492,0.0,1.035719551758018,0.0,1.0246329359327635,0.0,0.2725059847578701,0.2912602216368241,1.2777194563064893
comedy,Frau Marx,F,,,,"
        
Marx:

        
Numme ruehig Bluet. — ’s Tantel hierothe?l Nee! — 
(schüttelt den Kopf und lacht)
 — loß mich numme mache, ’s wurd kenn Bruehj so heiß gesse wie se kocht wurd! —

      
",7,stoskopf-e-diplomat,41,3,0.073170731707317,0.2051189855882841,0.1499068561854614,0.9276714014100114,0.2069713518542953,0.7814578723387272,0.2218116399040264,0.6375072604701708,0.2232448702997072,0.109002393903148,0.1599774642000137,0.8229087203405513
comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Do isch neemes shuldi dran wie d’Ammej, die alt Stündlere, wie zue minere Schweschter allewyl säit, daß se-n-in kem chrischtliche Hüs Iebt. Do hesch’s jetzt! — Marx 
(schüttelt wiederholt den Kopf und lacht)
! So g'schwind scheese d’Preiße nit.

      
",8,stoskopf-e-diplomat,55,4,0.0727272727272727,0.2051189855882841,0.0,0.8526304589997304,0.2069713518542953,0.699282830099399,0.2218116399040264,0.4981806114669517,0.2232448702997072,0.0,0.1544211513111228,0.7193410567046608
comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Ja, un weisch äu, wer’s isch ?

      
",9,stoskopf-e-diplomat,13,1,0.0769230769230769,0.2051189855882841,0.0,0.8526304589997304,0.2069713518542953,0.699282830099399,0.2218116399040264,0.4981806114669517,0.2232448702997072,0.0,0.1544211513111228,0.7193410567046608
comedy,Frau Marx,F,,,,"
        
Marx:

        
Ja? — denne möcht i kenne, wie so e G’schmack hett 
(lacht)
,

      
",9,stoskopf-e-diplomat,19,3,0.1578947368421052,0.2051189855882841,0.0,0.9570666333443932,0.2069713518542953,0.770753262069856,0.2218116399040264,0.6169377461054614,0.2232448702997072,0.0,0.1544211513111228,0.838747844927005
comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
’s Lutze Schlosser, d'r Stündler! Marx 
(lacht laut auf)
 : Was, der alt Bluttkopf denkt noch an’s Hierothe — Na, die täte jetzt zamme passe wie e Füscht uffe-n- Au 
(lacht)
. Diß gäb e Päärl! Denne Charivari möcht ich sehn.

      
",10,stoskopf-e-diplomat,56,6,0.1071428571428571,0.2051189855882841,0.0728924765178411,0.9124403425602868,0.2069713518542953,0.7663239684332905,0.2218116399040264,0.5224407884987168,0.2232448702997072,0.0,0.1498134015921109,0.8606723035772633
comedy,Frau Marx,F,,,,"
        
Frau Marx :

        
(weinerlich)

        
Brüchsch äu noch ze lache, ’s isch ari genue ! Dü wäisch, daß wenn emol e-n-alti Schier Fier fangt, se nimmi ze lösche- n-isch.

      
",11,stoskopf-e-diplomat,38,4,0.1052631578947368,0.0,0.1537732780774273,0.7575335370624607,0.0,0.7327978391125713,0.0,0.6585530809021353,0.0,0.0438559974436654,0.2422931403666819,1.008957052633464
comedy,Frau Marx,F,,,,"
        
Marx:

        
Loß mi numme mache, do wurd nix drüs: — Tiens, 
(am Fenster schauend)
 do kommt grad ’s Tantel, jetzt nit gemückst, Ioß mi mache un speel dini Roll guet, ich mach jetzt wie wenn i mit d'r Händel hätt! — 
(Babette herein; Babette ist eine alte Jungfer und steht komisch aus. Marx zu seiner Frau in heftigem Tone, wie wenn er im größten Zorn wäre)
 Ich hab d’r’s schun hundert Mol g'säit, diß Läwe hawi satt mit ejerm ewige rum un num Händle, ich will min Läwe in Fredde b’schließe un nit alle Daö de Derikekrej im Hüs han! — Dü muesch äu allewyl dini Schweschter chikaneere !

      
",12,stoskopf-e-diplomat,128,15,0.1171875,0.0897196911433744,0.3126787082282853,0.9618837292216702,0.0,0.9429317936964736,0.0367540474598832,0.8200650097457064,0.0150878684153872,0.0438559974436654,0.3499801322365508,1.2272835292848747
